Index;Product Name;Colors;Pic Urls;Care Instructions
82;Polocollar sweater in virgin wool with embroidered logo;Black  light pink  Dark Blue  Dark Blue  Light Green  Beige  Grey;https://images.hugoboss.com/is/image/boss/hbeu50435429_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
83;Merinowoolblend sweater with polo collar;Dark Blue  Silver  Dark Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50436279_410_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Tumble Dry Low Heat  Iron Low Heat  Gentle chemical dry cleaning P
84;Regularffit sweater in structured cotton with linen trims;Light Beige;https://images.hugoboss.com/is/image/boss/hbeu50428883_270_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
85;Knitted sweater with crew neckline;Grey  Dark Blue  White;https://images.hugoboss.com/is/image/boss/hbeu50434315_034_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
86;Hooded down jacket in waterrepellent mixed fabrics;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50441016_402_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
87;Regularfit downfilled parka in waterrepellent fabric;Blue;https://images.hugoboss.com/is/image/boss/hbeu50440973_463_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
88;Waterrepellent bomber jacket with light padding;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50448224_402_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
89;Packable down gilet with waterrepellent outer;Light Blue;https://images.hugoboss.com/is/image/boss/hbeu50448705_489_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P  Professional wet clean
90;Threeinone jacket with detachable vest and hood;Black  Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50446845_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
91;Waterrepellent down gilet with patch pockets;Beige;https://images.hugoboss.com/is/image/boss/hbeu50447103_250_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
92;Threeinone jacket with detachable vest and hood;Dark Blue  Black;https://images.hugoboss.com/is/image/boss/hbeu50446845_402_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
93;Waterrepellent softshell jacket in recycled twolayer fabric;Red;https://images.hugoboss.com/is/image/boss/hbeu50446825_628_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
94;Cotton sweater with jacquard logo motif;Black;https://images.hugoboss.com/is/image/boss/hbeu50436626_001_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
95;Shortsleeved knitted sweater with microstructured stripes;Dark Blue  Purple  Light Green  White  Light Grey;https://images.hugoboss.com/is/image/boss/hbeu50430114_402_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
96;Zipneck sweater with placement graphic pattern;Dark Blue  White;https://images.hugoboss.com/is/image/boss/hbeu50428712_410_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
97;Relaxedfit sweater in moulin linenblend yarn;White  Light Red  Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50430505_106_100?wid=462&qlt=80  ;Hand Wash Only  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
98;Regularfit functional sweater in stretch cotton blend: ZelchiorProS17;White  Blue  Black;https://images.hugoboss.com/is/image/boss/hbeu50328224_100_14?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
99;Slimfit sweater in cotton blend: Zime_S17;Light Grey;https://images.hugoboss.com/is/image/boss/hbeu50328108_059_14?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
